[09:14:19 INF] Usage: Total CPU 0.10% | App CPU 0.00% | App Heap 5.17MB
[09:14:20 INF] Usage: Total CPU 0.31% | App CPU 0.00% | App Heap 5.17MB
[09:14:21 INF] Usage: Total CPU 3.96% | App CPU 0.00% | App Heap 5.16MB
[09:14:22 INF] Usage: Total CPU 1.75% | App CPU 0.06% | App Heap 5.16MB
[09:14:23 INF] Usage: Total CPU 2.76% | App CPU 1.54% | App Heap 5.17MB
[09:14:24 INF] Usage: Total CPU 0.94% | App CPU 0.00% | App Heap 5.16MB
[09:14:25 INF] Usage: Total CPU 0.11% | App CPU 0.00% | App Heap 5.17MB
[09:14:26 INF] Usage: Total CPU 2.40% | App CPU 0.00% | App Heap 5.16MB
[09:14:27 INF] Usage: Total CPU 9.06% | App CPU 0.00% | App Heap 5.17MB
[09:14:28 INF] Usage: Total CPU 0.75% | App CPU 0.00% | App Heap 5.16MB
[09:14:29 INF] Usage: Total CPU 0.70% | App CPU 0.00% | App Heap 5.16MB
[09:14:30 INF] Usage: Total CPU 1.64% | App CPU 0.00% | App Heap 5.16MB
[09:14:31 INF] Usage: Total CPU 5.01% | App CPU 1.54% | App Heap 5.17MB
[09:14:32 INF] Usage: Total CPU 4.68% | App CPU 1.56% | App Heap 5.17MB
[09:14:33 INF] Usage: Total CPU 7.78% | App CPU 0.00% | App Heap 5.17MB
[09:14:34 INF] Usage: Total CPU 6.95% | App CPU 1.54% | App Heap 5.16MB
[09:14:35 INF] Usage: Total CPU 3.30% | App CPU 0.00% | App Heap 5.17MB
[09:14:36 INF] Usage: Total CPU 2.02% | App CPU 0.00% | App Heap 5.17MB
[09:14:37 INF] Usage: Total CPU 0.79% | App CPU 0.00% | App Heap 5.16MB
[09:14:38 INF] Usage: Total CPU 0.20% | App CPU 0.00% | App Heap 5.16MB
[09:14:39 INF] Usage: Total CPU 2.04% | App CPU 0.00% | App Heap 5.17MB
[09:14:40 INF] Usage: Total CPU 2.56% | App CPU 0.00% | App Heap 5.17MB
[09:14:41 INF] Usage: Total CPU 0.11% | App CPU 0.00% | App Heap 5.17MB
[09:14:42 INF] Usage: Total CPU 3.91% | App CPU 0.00% | App Heap 5.16MB
[09:14:43 INF] Usage: Total CPU 5.51% | App CPU 0.00% | App Heap 5.17MB
[09:14:44 INF] Usage: Total CPU 2.66% | App CPU 0.00% | App Heap 5.16MB
[09:14:45 INF] Usage: Total CPU 0.33% | App CPU 0.00% | App Heap 5.17MB
[09:14:46 INF] Usage: Total CPU 1.34% | App CPU 0.00% | App Heap 5.16MB
[09:14:47 INF] Usage: Total CPU 3.02% | App CPU 0.00% | App Heap 5.16MB
[09:14:48 INF] Usage: Total CPU 5.94% | App CPU 0.00% | App Heap 5.16MB
[09:14:49 INF] Usage: Total CPU 4.95% | App CPU 0.00% | App Heap 5.17MB
[09:14:50 INF] Usage: Total CPU 5.26% | App CPU 0.00% | App Heap 5.17MB
[09:14:51 INF] Usage: Total CPU 5.89% | App CPU 0.00% | App Heap 5.17MB
[09:14:52 INF] Usage: Total CPU 5.23% | App CPU 0.06% | App Heap 5.17MB
[09:14:54 INF] Usage: Total CPU 3.55% | App CPU 0.00% | App Heap 5.17MB
[09:14:55 INF] Usage: Total CPU 9.11% | App CPU 0.00% | App Heap 5.17MB
[09:14:56 INF] Usage: Total CPU 17.35% | App CPU 0.00% | App Heap 5.17MB
[09:14:57 INF] Usage: Total CPU 11.81% | App CPU 1.55% | App Heap 5.17MB
[09:14:58 INF] Usage: Total CPU 13.03% | App CPU 0.00% | App Heap 5.17MB
[09:14:59 INF] Usage: Total CPU 11.35% | App CPU 0.00% | App Heap 5.17MB
[09:15:00 INF] Usage: Total CPU 3.58% | App CPU 0.00% | App Heap 5.17MB
[09:15:01 INF] Usage: Total CPU 2.45% | App CPU 0.00% | App Heap 5.17MB
[09:15:02 INF] Usage: Total CPU 0.70% | App CPU 0.00% | App Heap 5.17MB
[09:15:03 INF] Usage: Total CPU 0.84% | App CPU 0.00% | App Heap 5.17MB
[09:15:04 INF] Usage: Total CPU 2.61% | App CPU 0.00% | App Heap 5.17MB
[09:15:05 INF] Usage: Total CPU 0.99% | App CPU 0.00% | App Heap 5.17MB
[09:15:06 INF] Usage: Total CPU 0.87% | App CPU 0.00% | App Heap 5.17MB
[09:15:07 INF] Usage: Total CPU 0.83% | App CPU 0.00% | App Heap 5.17MB
[09:15:08 INF] Usage: Total CPU 1.13% | App CPU 0.00% | App Heap 5.18MB
[09:15:09 INF] Usage: Total CPU 2.62% | App CPU 0.00% | App Heap 5.18MB
[09:15:10 INF] Usage: Total CPU 0.22% | App CPU 0.00% | App Heap 5.17MB
[09:15:11 INF] Usage: Total CPU 0.76% | App CPU 0.00% | App Heap 5.18MB
[09:15:12 INF] Usage: Total CPU 1.81% | App CPU 0.00% | App Heap 5.18MB
[09:15:13 INF] Usage: Total CPU 2.51% | App CPU 0.06% | App Heap 5.17MB
[09:15:14 INF] Usage: Total CPU 1.75% | App CPU 0.00% | App Heap 5.18MB
[09:15:15 INF] Usage: Total CPU 1.11% | App CPU 0.00% | App Heap 5.18MB
[09:15:16 INF] Usage: Total CPU 0.95% | App CPU 0.00% | App Heap 5.18MB
[09:15:17 INF] Usage: Total CPU 0.33% | App CPU 0.00% | App Heap 5.17MB
[09:15:18 INF] Usage: Total CPU 1.11% | App CPU 0.00% | App Heap 5.17MB
[09:15:19 INF] Usage: Total CPU 0.54% | App CPU 0.00% | App Heap 5.17MB
[09:15:20 INF] Usage: Total CPU 3.29% | App CPU 0.00% | App Heap 5.18MB
[09:15:21 INF] Usage: Total CPU 2.39% | App CPU 0.00% | App Heap 5.18MB
[09:15:22 INF] Usage: Total CPU 0.88% | App CPU 0.00% | App Heap 5.17MB
[09:15:23 INF] Usage: Total CPU 1.17% | App CPU 1.55% | App Heap 5.18MB
[09:15:24 INF] Usage: Total CPU 4.69% | App CPU 0.00% | App Heap 5.17MB
[09:15:25 INF] Usage: Total CPU 2.15% | App CPU 1.55% | App Heap 5.17MB
[09:15:26 INF] Usage: Total CPU 0.40% | App CPU 0.00% | App Heap 5.17MB
[09:15:27 INF] Usage: Total CPU 8.23% | App CPU 0.00% | App Heap 5.17MB
[09:15:28 INF] Usage: Total CPU 0.97% | App CPU 0.00% | App Heap 5.18MB
[09:15:29 INF] Usage: Total CPU 2.57% | App CPU 0.00% | App Heap 5.17MB
[09:15:30 INF] Usage: Total CPU 0.50% | App CPU 0.00% | App Heap 5.18MB
[09:15:31 INF] Usage: Total CPU 0.71% | App CPU 0.00% | App Heap 5.18MB
[09:15:32 INF] Usage: Total CPU 2.59% | App CPU 0.00% | App Heap 5.18MB
[09:15:33 INF] Usage: Total CPU 1.49% | App CPU 0.00% | App Heap 5.17MB
[09:15:34 INF] Usage: Total CPU 2.40% | App CPU 0.00% | App Heap 5.18MB
[09:15:35 INF] Usage: Total CPU 0.41% | App CPU 0.00% | App Heap 5.18MB
[09:15:36 INF] Usage: Total CPU 1.04% | App CPU 0.00% | App Heap 5.18MB
[09:15:37 INF] Usage: Total CPU 2.11% | App CPU 0.00% | App Heap 5.17MB
[09:15:38 INF] Usage: Total CPU 2.59% | App CPU 0.00% | App Heap 5.18MB
[09:15:39 INF] Usage: Total CPU 2.16% | App CPU 1.48% | App Heap 5.18MB
[09:15:40 INF] Usage: Total CPU 0.79% | App CPU 0.00% | App Heap 5.17MB
[09:15:41 INF] Usage: Total CPU 1.26% | App CPU 0.00% | App Heap 5.17MB
[09:15:42 INF] Usage: Total CPU 1.95% | App CPU 0.00% | App Heap 5.18MB
[09:15:43 INF] Usage: Total CPU 0.58% | App CPU 0.00% | App Heap 5.18MB
[09:15:44 INF] Usage: Total CPU 2.55% | App CPU 0.00% | App Heap 5.17MB
[09:15:45 INF] Usage: Total CPU 2.52% | App CPU 1.54% | App Heap 5.18MB
[09:15:46 INF] Usage: Total CPU 0.58% | App CPU 0.00% | App Heap 5.18MB
[09:15:47 INF] Usage: Total CPU 0.16% | App CPU 0.00% | App Heap 5.17MB
[09:15:48 INF] Usage: Total CPU 0.66% | App CPU 0.00% | App Heap 5.18MB
[09:15:49 INF] Usage: Total CPU 3.75% | App CPU 0.06% | App Heap 5.17MB
[09:15:50 INF] Usage: Total CPU 2.91% | App CPU 1.54% | App Heap 5.17MB
[09:15:51 INF] Usage: Total CPU 0.39% | App CPU 0.00% | App Heap 5.18MB
[09:15:52 INF] Usage: Total CPU 0.95% | App CPU 0.00% | App Heap 5.18MB
[09:15:53 INF] Usage: Total CPU 0.55% | App CPU 0.00% | App Heap 5.18MB
[09:15:54 INF] Usage: Total CPU 2.84% | App CPU 0.00% | App Heap 5.18MB
[09:15:55 INF] Usage: Total CPU 6.90% | App CPU 0.06% | App Heap 5.17MB
[09:15:56 INF] Usage: Total CPU 5.63% | App CPU 0.00% | App Heap 5.17MB
[09:15:57 INF] Usage: Total CPU 4.41% | App CPU 0.00% | App Heap 5.18MB
[09:15:58 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 5.17MB
[09:15:59 INF] Usage: Total CPU 0.75% | App CPU 0.00% | App Heap 5.17MB
[09:16:00 INF] Usage: Total CPU 4.72% | App CPU 0.06% | App Heap 5.18MB
[09:16:01 INF] Usage: Total CPU 5.75% | App CPU 1.54% | App Heap 5.18MB
[09:16:02 INF] Usage: Total CPU 2.03% | App CPU 0.00% | App Heap 5.18MB
[09:16:03 INF] Usage: Total CPU 3.35% | App CPU 0.00% | App Heap 5.18MB
[09:16:04 INF] Usage: Total CPU 3.46% | App CPU 0.06% | App Heap 5.18MB
[09:16:05 INF] Usage: Total CPU 1.70% | App CPU 0.00% | App Heap 5.18MB
[09:16:06 INF] Usage: Total CPU 0.04% | App CPU 0.00% | App Heap 5.18MB
[09:16:07 INF] Usage: Total CPU 0.74% | App CPU 0.00% | App Heap 5.18MB
